ID,count_00,count_01,count_02,count_03,count_04,count_05,count_06,count_07,count_08,count_09,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,sum,perc_0,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_10,perc_11,perc_12,perc_13,perc_14,perc_15,perc_16,perc_17
AM03_0000_t,0,884,501,0,511,0,384,926,0,0,0,0,0,242,0,0,791,0,4239,0,20.85,11.82,0,12.05,0,9.06,21.84,0,0,0,0,0,5.71,0,0,18.66,0
AM03_0001_t,232,0,1104,0,621,0,0,610,0,0,391,0,0,151,0,0,1572,0,4681,4.96,0,23.58,0,13.27,0,0,13.03,0,0,8.35,0,0,3.23,0,0,33.58,0
AM04_0001_t,248,0,336,0,408,0,0,503,0,1318,294,0,0,236,0,0,0,0,3343,7.42,0,10.05,0,12.2,0,0,15.05,0,39.43,8.79,0,0,7.06,0,0,0,0
AM04_0000_t,347,1037,0,0,623,0,0,454,0,1048,284,0,0,326,0,0,0,0,4119,8.42,25.18,0,0,15.13,0,0,11.02,0,25.44,6.89,0,0,7.91,0,0,0,0
AM04_0002_t,166,919,0,0,273,0,161,286,0,0,179,0,0,174,0,0,0,0,2158,7.69,42.59,0,0,12.65,0,7.46,13.25,0,0,8.29,0,0,8.06,0,0,0,0
AM04_0003_t,108,140,0,0,132,0,309,118,0,0,97,0,0,64,0,0,0,0,968,11.16,14.46,0,0,13.64,0,31.92,12.19,0,0,10.02,0,0,6.61,0,0,0,0
AM05_0001_t,0,2079,0,231,278,0,268,399,0,529,0,387,0,0,0,0,0,0,4171,0,49.84,0,5.54,6.67,0,6.43,9.57,0,12.68,0,9.28,0,0,0,0,0,0
AM05_0002_t,0,1059,209,102,163,0,143,161,0,293,0,0,0,0,0,0,0,0,2130,0,49.72,9.81,4.79,7.65,0,6.71,7.56,0,13.76,0,0,0,0,0,0,0,0
AM05_0000_t,0,1021,0,240,368,0,214,271,0,1333,0,332,0,0,0,0,0,0,3779,0,27.02,0,6.35,9.74,0,5.66,7.17,0,35.27,0,8.79,0,0,0,0,0,0
AM05_0003_t,0,989,145,0,270,0,164,148,115,271,0,0,0,0,0,0,0,0,2102,0,47.05,6.9,0,12.84,0,7.8,7.04,5.47,12.89,0,0,0,0,0,0,0,0
AM06_0005_t,296,0,0,277,3990,0,0,326,0,235,0,0,0,0,0,399,0,0,5523,5.36,0,0,5.02,72.24,0,0,5.9,0,4.25,0,0,0,0,0,7.22,0,0
AM06_0003_t,955,0,0,2607,5762,0,0,827,0,810,0,0,0,2179,0,1621,0,0,14761,6.47,0,0,17.66,39.04,0,0,5.6,0,5.49,0,0,0,14.76,0,10.98,0,0
AM07_0009_t,0,0,0,0,207,0,1942,259,0,0,0,0,0,0,0,159,438,0,3005,0,0,0,0,6.89,0,64.63,8.62,0,0,0,0,0,0,0,5.29,14.58,0
AM07_0008_t,0,0,0,0,270,0,3074,332,0,0,0,52,0,0,0,0,537,0,4265,0,0,0,0,6.33,0,72.08,7.78,0,0,0,1.22,0,0,0,0,12.59,0
BEN01_1_0004_t,496,0,586,0,1931,0,0,446,0,0,646,0,0,0,0,704,0,413,5222,9.5,0,11.22,0,36.98,0,0,8.54,0,0,12.37,0,0,0,0,13.48,0,7.91
